Title,Organization,Skills,Ratings,Review counts,Level,Pro,Dure,Combined_Text
Google Cybersecurity,Google,"[' Network Security', ' Python Programming', ' Linux', ' Cloud Computing', ' Algorithms', ' Audit', ' Computer Programming', ' Computer Security Incident Management', ' Cryptography', ' Databases', ' Leadership and Management', ' Network Architecture', ' Risk Management', ' SQL']",4.8,20000,Beginner ,· Professional Certificate ,· 3 - 6 Months,"Google Cybersecurity  Network Security, Python Programming, Linux, Cloud Computing, Algorithms, Audit, Computer Programming, Computer Security Incident Management, Cryptography, Databases, Leadership and Management, Network Architecture, Risk Management, SQL Google"
Google Data Analytics,Google,"[' Data Analysis', ' R Programming', ' SQL', ' Business Communication', ' Spreadsheet Software', ' Business Analysis', ' Data Visualization', ' Data Management', ' General Statistics', ' Big Data', ' Communication', ' Computer Programming', ' Data Science', ' Data Visualization Software', ' Databases', ' Exploratory Data Analysis', ' Extract', ' Transform', ' Load', ' Leadership and Management', ' Microsoft Excel', ' Problem Solving', ' Small Data', ' Statistical Programming', ' Tableau Software']",4.8,137000,Beginner ,· Professional Certificate ,· 3 - 6 Months,"Google Data Analytics  Data Analysis, R Programming, SQL, Business Communication, Spreadsheet Software, Business Analysis, Data Visualization, Data Management, General Statistics, Big Data, Communication, Computer Programming, Data Science, Data Visualization Software, Databases, Exploratory Data Analysis, Extract, Transform, Load, Leadership and Management, Microsoft Excel, Problem Solving, Small Data, Statistical Programming, Tableau Software Google"
Google Project Management:,Google,"[' Project Management', ' Strategy and Operations', ' Leadership and Management', ' Communication', ' Business Communication', ' Collaboration', ' Agile Software Development', ' Software Engineering', ' Entrepreneurship', ' Scrum (Software Development)', ' Planning', ' Supply Chain and Logistics', ' Change Management', ' Finance', ' Organizational Development', ' Product Management', ' Risk Management', ' Budget Management', ' Influencing', ' Culture', ' Emotional Intelligence', ' People Management', ' Problem Solving', ' Procurement']",4.8,100000,Beginner ,· Professional Certificate ,· 3 - 6 Months,"Google Project Management:  Project Management, Strategy and Operations, Leadership and Management, Communication, Business Communication, Collaboration, Agile Software Development, Software Engineering, Entrepreneurship, Scrum (Software Development), Planning, Supply Chain and Logistics, Change Management, Finance, Organizational Development, Product Management, Risk Management, Budget Management, Influencing, Culture, Emotional Intelligence, People Management, Problem Solving, Procurement Google"
IBM Data Science,IBM,"[' Python Programming', ' Data Science', ' Machine Learning', ' Data Analysis', ' Algorithms', ' Data Management', ' Data Visualization', ' Human Learning', ' R Programming', ' Computer Programming', ' Data Mining', ' Data Structures', ' Database Administration', ' Database Application', ' Database Theory', ' Databases', ' Deep Learning', ' Exploratory Data Analysis', ' Machine Learning Algorithms', ' Plot (Graphics)', ' SQL', ' Data Model', ' Statistical Machine Learning', ' General Statistics', ' Probability & Statistics', ' Regression', ' Reinforcement Learning', ' Statistical Programming', ' Big Data', ' Cloud Computing', ' IBM Cloud', ' Writing']",4.6,120000,Beginner ,· Professional Certificate ,· 3 - 6 Months,"IBM Data Science  Python Programming, Data Science, Machine Learning, Data Analysis, Algorithms, Data Management, Data Visualization, Human Learning, R Programming, Computer Programming, Data Mining, Data Structures, Database Administration, Database Application, Database Theory, Databases, Deep Learning, Exploratory Data Analysis, Machine Learning Algorithms, Plot (Graphics), SQL, Data Model, Statistical Machine Learning, General Statistics, Probability & Statistics, Regression, Reinforcement Learning, Statistical Programming, Big Data, Cloud Computing, IBM Cloud, Writing IBM"
Google Digital Marketing & E-commerce,Google,"[' Digital Marketing', ' Marketing', ' Marketing Management', ' Media Strategy & Planning', ' Sales', ' E-Commerce', ' Data Analysis', ' Social Media', ' Search Engine Optimization', ' Advertising', ' Communication', ' Persona Research', ' Strategy', ' Web Design', ' Web Development', ' Web Development Tools', ' Writing', ' Data Management', ' Market Analysis']",4.8,23000,Beginner ,· Professional Certificate ,· 3 - 6 Months,"Google Digital Marketing & E-commerce  Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Sales, E-Commerce, Data Analysis, Social Media, Search Engine Optimization, Advertising, Communication, Persona Research, Strategy, Web Design, Web Development, Web Development Tools, Writing, Data Management, Market Analysis Google"
IBM Data Analyst,IBM,"[' Python Programming', ' Microsoft Excel', ' Data Visualization', ' Spreadsheet Software', ' Data Analysis', ' Databases', ' SQL', ' Plot (Graphics)', ' Data Management', ' Data Structures', ' Exploratory Data Analysis', ' Machine Learning', ' Business Analysis', ' Computer Programming', ' Database Administration', ' Database Application', ' Database Theory', ' Statistical Visualization', ' Data Mining', ' Data Science', ' General Statistics', ' NoSQL', ' R Programming', ' Cloud Computing', ' Data Visualization Software', ' IBM Cloud', ' Interactive Data Visualization', ' Machine Learning Algorithms', ' Probability & Statistics', ' Regression', ' Statistical Programming']",4.6,73000,Beginner ,· Professional Certificate ,· 3 - 6 Months,"IBM Data Analyst  Python Programming, Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Databases, SQL, Plot (Graphics), Data Management, Data Structures, Exploratory Data Analysis, Machine Learning, Business Analysis, Computer Programming, Database Administration, Database Application, Database Theory, Statistical Visualization, Data Mining, Data Science, General Statistics, NoSQL, R Programming, Cloud Computing, Data Visualization Software, IBM Cloud, Interactive Data Visualization, Machine Learning Algorithms, Probability & Statistics, Regression, Statistical Programming IBM"
Google IT Support,Google,"[' Computer Networking', ' Network Architecture', ' Network Model', ' Networking Hardware', ' Network Analysis', ' Computer Architecture', ' Critical Thinking', ' Problem Solving', ' Communication', ' Human Computer Interaction', ' Network Security', ' Linux', ' System Security', ' Cloud Computing', ' Computer Programming', ' Customer Support', ' Cryptography', ' Leadership and Management', ' Operating Systems']",4.8,183000,Beginner ,· Professional Certificate ,· 3 - 6 Months,"Google IT Support  Computer Networking, Network Architecture, Network Model, Networking Hardware, Network Analysis, Computer Architecture, Critical Thinking, Problem Solving, Communication, Human Computer Interaction, Network Security, Linux, System Security, Cloud Computing, Computer Programming, Customer Support, Cryptography, Leadership and Management, Operating Systems Google"
Machine Learning,Multiple educators,"[' Machine Learning', ' Machine Learning Algorithms', ' Applied Machine Learning', ' Algorithms', ' Deep Learning', ' Machine Learning Software', ' Artificial Neural Networks', ' Human Learning', ' Python Programming', ' Regression', ' Statistical Machine Learning', ' Tensorflow', ' Mathematics', ' Critical Thinking', ' Network Model', ' Reinforcement Learning']",4.9,19000,Beginner ,· Specialization ,· 1 - 3 Months,"Machine Learning  Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Deep Learning, Machine Learning Software, Artificial Neural Networks, Human Learning, Python Programming, Regression, Statistical Machine Learning, Tensorflow, Mathematics, Critical Thinking, Network Model, Reinforcement Learning Multiple educators"
Google UX Design,Google,"[' User Experience', ' User Experience Design', ' User Research', ' Audit', ' Collaboration', ' Human Computer Interaction', ' Planning', ' Product Design', ' Product Development', ' Social Media', ' Web Design', ' Web Development Tools']",4.8,75000,Beginner ,· Professional Certificate ,· 3 - 6 Months,"Google UX Design  User Experience, User Experience Design, User Research, Audit, Collaboration, Human Computer Interaction, Planning, Product Design, Product Development, Social Media, Web Design, Web Development Tools Google"
IBM DevOps and Software Engineering,IBM,"[' DevOps', ' Software Engineering', ' Cloud Computing', ' Computer Programming', ' Application Development', ' Python Programming', ' Software Architecture', ' Cloud Applications', ' Continuous Delivery', ' Continuous Integration', ' Software Engineering Tools', ' Agile Software Development', ' Programming Principles', ' Security Engineering', ' Software Testing', ' Cloud Infrastructure', ' Kubernetes', ' Cloud-Based Integration', ' Microarchitecture', ' Cloud Platforms', ' Communication', ' IBM Cloud', ' Scrum (Software Development)', ' Software Security', ' Cloud Storage', ' Docker (Software)', ' Linux', ' Software-Defined Networking', ' Technical Product Management', ' Collaboration', ' Leadership and Management', ' Data Analysis', ' Mergers & Acquisitions']",4.6,44000,Beginner ,· Professional Certificate ,· 3 - 6 Months,"IBM DevOps and Software Engineering  DevOps, Software Engineering, Cloud Computing, Computer Programming, Application Development, Python Programming, Software Architecture, Cloud Applications, Continuous Delivery, Continuous Integration, Software Engineering Tools, Agile Software Development, Programming Principles, Security Engineering, Software Testing, Cloud Infrastructure, Kubernetes, Cloud-Based Integration, Microarchitecture, Cloud Platforms, Communication, IBM Cloud, Scrum (Software Development), Software Security, Cloud Storage, Docker (Software), Linux, Software-Defined Networking, Technical Product Management, Collaboration, Leadership and Management, Data Analysis, Mergers & Acquisitions IBM"
